Subject	Group	Trial	Condition	item	Remove	StimSlide.ACC	StimSlide.RT	Structure	Number	First_NP
206	monolingual	28	1	9	no	1	5317	Subject	Match	Singular
206	monolingual	24	1	10	no	1	6816	Subject	Match	Singular
206	monolingual	2	2	1	no	1	4358	Object	Match	Singular
206	monolingual	8	2	2	no	1	5984	Object	Match	Singular
206	monolingual	29	2	3	no	1	3844	Object	Match	Singular
206	monolingual	29	2	4	no	1	8912	Object	Match	Singular
206	monolingual	40	2	5	no	1	4932	Object	Match	Singular
206	monolingual	33	2	6	no	1	8132	Object	Match	Singular
206	monolingual	17	2	7	no	1	12759	Object	Match	Singular
206	monolingual	12	2	8	no	1	3496	Object	Match	Singular
206	monolingual	8	2	9	no	0	4658	Object	Match	Singular
206	monolingual	40	2	10	no	1	7073	Object	Match	Singular
206	monolingual	32	3	1	no	1	5745	Subject	Mismatch	Singular
206	monolingual	37	3	2	no	1	4337	Subject	Mismatch	Singular
206	monolingual	37	3	3	no	1	4314	Subject	Mismatch	Singular
206	monolingual	9	3	4	no	1	4344	Subject	Mismatch	Singular
206	monolingual	20	3	5	no	1	5664	Subject	Mismatch	Singular
206	monolingual	9	3	6	no	1	9425	Subject	Mismatch	Singular
206	monolingual	32	3	7	no	1	4180	Subject	Mismatch	Singular
206	monolingual	5	3	8	no	1	3929	Subject	Mismatch	Singular
206	monolingual	19	3	9	no	1	3987	Subject	Mismatch	Singular
206	monolingual	5	3	10	no	1	4214	Subject	Mismatch	Singular
206	monolingual	35	4	1	no	1	3991	Object	Mismatch	Singular
206	monolingual	25	4	2	no	1	7438	Object	Mismatch	Singular
206	monolingual	2	4	3	no	1	4508	Object	Mismatch	Singular
206	monolingual	12	4	4	no	1	6188	Object	Mismatch	Singular
206	monolingual	24	4	6	no	1	5320	Object	Mismatch	Singular
206	monolingual	16	4	7	no	1	6880	Object	Mismatch	Singular
206	monolingual	23	4	9	no	1	6030	Object	Mismatch	Singular
206	monolingual	16	4	10	no	1	4540	Object	Mismatch	Singular
206	monolingual	13	5	1	no	1	4796	Subject	Mismatch	Plural
206	monolingual	22	5	2	no	1	8701	Subject	Mismatch	Plural
206	monolingual	21	5	3	no	1	4595	Subject	Mismatch	Plural
206	monolingual	25	5	4	no	1	9620	Subject	Mismatch	Plural
206	monolingual	3	5	5	no	1	3552	Subject	Mismatch	Plural
206	monolingual	3	5	6	no	1	4431	Subject	Mismatch	Plural
206	monolingual	34	5	7	no	1	7391	Subject	Mismatch	Plural
206	monolingual	13	5	10	no	1	4206	Subject	Mismatch	Plural
206	monolingual	31	6	1	no	1	4311	Object	Mismatch	Plural
206	monolingual	10	6	2	no	1	9939	Object	Mismatch	Plural
206	monolingual	38	6	3	no	1	6192	Object	Mismatch	Plural
206	monolingual	18	6	4	no	1	5775	Object	Mismatch	Plural
206	monolingual	31	6	5	no	1	5551	Object	Mismatch	Plural
206	monolingual	10	6	6	no	1	5635	Object	Mismatch	Plural
206	monolingual	19	6	7	no	0	4638	Object	Mismatch	Plural
206	monolingual	6	6	9	no	1	10352	Object	Mismatch	Plural
206	monolingual	6	6	10	no	1	4275	Object	Mismatch	Plural
206	monolingual	11	7	1	no	1	4948	Subject	Match	Plural
206	monolingual	17	7	2	no	1	7973	Subject	Match	Plural
206	monolingual	30	7	3	no	1	4392	Subject	Match	Plural
206	monolingual	18	7	4	no	1	4476	Subject	Match	Plural
206	monolingual	30	7	5	no	1	5326	Subject	Match	Plural
206	monolingual	39	7	6	no	1	5089	Subject	Match	Plural
