speaker,file,word,time,rel_time,cq,language,vowel,voicing,place
it09,it09-057,poco,0.7995044815281215,0.16879457623035082,0.3944194743986935,Italian,o,voiceless,velar
it09,it09-057,poco,0.8046361288046041,0.2248763991166892,0.5526441853680807,Italian,o,voiceless,velar
it09,it09-057,poco,0.8083790912997065,0.2657818137741869,0.48422374122271444,Italian,o,voiceless,velar
it09,it09-057,poco,0.8128069686025922,0.3141724020753137,0.5004152393054001,Italian,o,voiceless,velar
it09,it09-057,poco,0.8172792930414873,0.3630487362344834,0.46539407647738584,Italian,o,voiceless,velar
it09,it09-057,poco,0.8218979199445344,0.41352395442452,0.5482997434557079,Italian,o,voiceless,velar
it09,it09-057,poco,0.8261581710150049,0.46008261933518035,0.25323787965530004,Italian,o,voiceless,velar
it09,it09-058,pata,0.7745964977799734,0.13154076664906192,0.47310699259043665,Italian,a,voiceless,coronal
it09,it09-058,pata,0.7795633534209763,0.1954702754100467,0.5253758860840906,Italian,a,voiceless,coronal
it09,it09-058,pata,0.7840280588864538,0.2529364970602556,0.4888488232620505,Italian,a,voiceless,coronal
it09,it09-058,pata,0.7886242442068693,0.31209502530153244,0.5590499366521215,Italian,a,voiceless,coronal
it09,it09-058,pata,0.7924670726812076,0.36155692924516575,0.5030044073795361,Italian,a,voiceless,coronal
it09,it09-058,pata,0.7969279046492309,0.4189732942441381,0.5141401075333987,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8011000494326955,0.4726739019857281,0.4714512734662386,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8056495518497689,0.5312315641471538,0.43078948098947056,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8106356264130388,0.5954084439509568,0.5776102392141356,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8143506418591295,0.6432252378491785,0.4762507903009423,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8188631052480198,0.7013061624027727,0.5794511846843811,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8227557403793072,0.7514091389569116,0.4357731395948469,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8276281449495314,0.81412294688154,0.5215672242616414,Italian,a,voiceless,coronal
it09,it09-058,pata,0.8317516802621802,0.8671978912628472,0.4617640747312514,Italian,a,voiceless,coronal
it09,it09-059,paca,0.8977412603949492,0.045638430086640716,0.4735608677740907,Italian,a,voiceless,velar
it09,it09-059,paca,0.9029216774692596,0.12153590158122245,0.557939381323258,Italian,a,voiceless,velar
