speaker,word,time_point,f1,f2,f3,f0,duration,vowel,voicing,place
it07,paga,3,728.0932229484,1184.3087692576,2423.0686352635,123.0630530824,117.9156284926,a,voiced,velar
it07,paga,4,741.8891535593,1210.6901895945,2397.0792992341,122.8139935618,117.9156284926,a,voiced,velar
it07,paga,5,748.1615215532,1236.3118683512,2338.9646909406,124.8774528312,117.9156284926,a,voiced,velar
it07,paga,6,732.1394242102,1279.1974475705,2204.3397312268,127.5056659795,117.9156284926,a,voiced,velar
it07,paga,7,657.1431051412,1322.2319858048,2083.0512352829,129.5160667513,117.9156284926,a,voiced,velar
it07,paga,8,602.6534715632,1403.4513832684,2007.8747682475,130.3414276366,117.9156284926,a,voiced,velar
it07,paga,9,564.1300086054,1442.8078655893,1935.1685063662,130.3207525367,117.9156284926,a,voiced,velar
it07,pada,1,671.3740029935,1137.3138126403,2487.986106083,118.1122539267,122.2598884897,a,voiced,coronal
it07,pada,2,700.7859898902,1166.1130276879,2525.4610814645,122.0399728763,122.2598884897,a,voiced,coronal
it07,pada,3,722.7124900707,1191.7197150853,2566.2750356505,124.1544898234,122.2598884897,a,voiced,coronal
it07,pada,4,744.7459665286,1198.745750389,2603.1972376282,122.4635526662,122.2598884897,a,voiced,coronal
it07,pada,5,749.7261303235,1210.3465669806,2619.3457672559,121.8856949223,122.2598884897,a,voiced,coronal
it07,pada,6,747.6095084379,1230.5462813692,2672.335598066,123.3578949505,122.2598884897,a,voiced,coronal
it07,pada,7,747.3911729211,1271.2170565352,2641.7993379953,123.8291420601,122.2598884897,a,voiced,coronal
it07,pada,8,719.0538679518,1303.1431089289,2626.8612250314,123.772602844,122.2598884897,a,voiced,coronal
it07,pada,9,649.9077025764,1329.0531703346,2592.9108592083,122.8505267924,122.2598884897,a,voiced,coronal
it07,pata,1,636.0844306117,1112.3198216027,2477.4687831612,NA,87.3900408741,a,voiceless,coronal
